ds,humidity_forecast,temp_dht_forecast,temp_bmp_forecast,pressure_forecast
2025-01-04 18:29:25,57.61558416233483,36.98573591172509,1148.858321353114,905.0172663705332
2025-01-04 18:32:06,57.33483438952374,37.039116696899036,1148.0828922802157,905.364926502263
2025-01-05 15:54:51,67.38331174575582,34.78239664954895,1106.3271510662692,929.7673256968897
2025-01-05 16:09:42,67.66591418679442,34.959265031008854,1109.026139579916,928.2464396812946
2025-01-05 16:24:42,67.8133381592049,35.148221245008074,1111.1248598805198,926.9530899302034
2025-01-05 16:39:42,67.79752279874953,35.349430859264935,1112.462289280327,925.9881651023368
2025-01-05 16:54:42,67.60186089026922,35.56370588658108,1112.9395776875836,925.4196130039563
2025-01-05 17:09:42,67.21865073061787,35.79061814571615,1112.4943395318976,925.2942082218703
2025-01-05 17:24:42,66.64950198853165,36.02842865775315,1111.1027722555825,925.6343908569871
2025-01-05 17:39:42,65.90522965007548,36.27409528556349,1108.7796209818032,926.4366671752641
2025-01-05 17:54:42,65.00524947141275,36.52335975537105,1105.576052466004,927.671689115495
2025-01-05 18:09:42,63.97651774098607,36.77091051659745,1101.575628400872,929.2860175783387
2025-01-05 18:24:42,62.85208450891135,37.010613382662,1096.8886805254429,931.205461584956
2025-01-05 18:39:42,61.6693511438825,37.23579782299855,1091.645480653418,933.3397793822171
2025-01-05 18:54:42,60.46813883885803,37.43958339528051,1085.9886621818814,935.5884355541571
2025-01-05 19:09:42,59.28868357839515,37.61522832829653,1080.0653821767785,937.8470364268003
2025-01-05 20:34:25,54.64409052125588,37.83672714072183,1047.73711574788,946.6674788417713
2025-01-05 20:49:20,54.36148773639505,37.72083908440023,1042.9865307601235,947.1359385566132
2025-01-05 21:04:20,54.25535443612419,37.560286757098226,1038.5937406471105,947.2919092680606
2025-01-05 21:19:20,54.319484734748926,37.36009827686953,1034.5790694545763,947.1884758769523
2025-01-05 21:34:20,54.540130848085724,37.12612030106262,1030.9195112482178,946.9008684360066
2025-01-05 21:49:21,54.89977064289961,36.864980270055476,1027.5775104843508,946.5171964510165
2025-01-05 22:04:20,55.37613032042182,36.58529125708919,1024.5237567233733,946.1345305027014
2025-01-05 22:19:20,55.948288179961345,36.294293519628006,1021.7067338814203,945.8478517727298
2025-01-05 22:34:20,56.593365315068425,36.000519265334944,1019.0927274922649,945.7478422781858
2025-01-05 22:49:20,57.29011636908698,35.711930895149635,1016.6518658536864,945.9124264184421
2025-01-05 23:04:20,58.019506686816555,35.435891766081525,1014.364382119844,946.4017982491094
2025-01-05 23:19:20,58.76549976401099,35.178872189831445,1012.222103321615,947.2541878473062
2025-01-05 23:34:20,59.515551231429995,34.94620646476063,1010.2286354352761,948.4830909581156
2025-01-05 23:49:20,60.260796744566015,34.741911517759895,1008.3982724279823,950.0761443054222
2025-01-06 00:04:20,60.9959437849247,34.56857395462189,1006.7537576574779,951.995718838629
2025-01-06 00:19:20,61.71889849011211,34.42730827377298,1005.3231153686002,954.1811884699281
2025-01-06 00:34:20,62.43017672940981,34.317784952460485,1004.1358420056326,956.5527201827975
2025-01-21 08:25:29,71.44359591732554,31.318250486825566,935.7029500798202,955.8419418581041
2025-01-21 08:40:21,72.05029219655577,31.09224522899489,938.5732333837345,955.1620562521078
2025-01-21 08:55:21,72.60830350416794,30.890958400761058,941.5356799177731,954.2065121556565
2025-01-21 09:10:21,73.08574963126138,30.720808823471984,944.4464522023832,953.0116154980382
2025-01-21 09:25:21,73.4575618830352,30.58563720843696,947.1861491338743,951.6260869412057
2025-01-21 09:40:21,73.7014654071136,30.48867800053204,949.6426024258471,950.1121641577147
2025-01-21 09:55:21,73.7994819934188,30.432405845209225,951.7185508596826,948.5408823637969
2025-01-21 10:10:21,73.73924722382503,30.418400032874015,953.3385762304556,946.9867173400363
2025-01-21 10:25:21,73.51504952143114,30.447237137082652,954.4548322611266,945.5219760044421
2025-01-21 10:40:21,73.12851355801035,30.51842110339438,955.0511671476796,944.2113375760986
2025-01-21 10:55:21,72.58887091549192,30.63035834536252,955.1453369286701,943.106938187773
2025-01-21 11:10:21,71.91278560196709,30.780383052499033,954.7891245319523,942.2443540770031
2025-01-21 11:25:21,71.12372947270431,30.964835046630416,954.0663105714436,941.6397759361937
2025-01-21 11:40:21,70.25093102557302,31.179189319811034,953.0885783962684,941.2885838063517
2025-01-21 11:55:21,69.32794860195119,31.418233055641128,951.9895686325539,941.1654338811189
2025-01-21 12:10:21,68.39094389804043,31.676282705444535,950.9174188327997,941.225862496646
2025-01-21 12:25:21,67.47675224969576,31.947430772743342,950.026223985295,941.4093057490037
2025-01-21 12:40:21,66.62086092909303,32.2258096291863,949.466926853448,941.6433330055798
2025-01-21 12:55:21,65.855414742172,32.5058579349354,949.3781885607569,941.8488060381923
2025-01-21 13:10:21,65.20736883576608,32.78257455632453,949.8777966161093,941.9456086071775
2025-01-21 13:25:21,64.69690173732538,33.05174492263438,951.0551391004498,941.8585487793071
2025-01-21 13:40:21,64.33618759433625,33.31012589935468,952.9652117401117,941.5230210874504
2025-01-21 13:55:21,64.12860617244455,33.55557726857756,955.6245328621919,940.8900289907311
2025-01-21 14:10:21,64.06844363473975,33.78713075582918,959.0092256999245,939.9302091533772
2025-01-21 14:25:21,64.14110806833745,34.00499104093269,963.0553954534953,938.6365651318391
2025-01-21 14:40:21,64.32385292112913,34.210467152655625,967.6617884063292,937.0257046862118
2025-01-21 14:55:21,64.58697092600573,34.40583681883543,972.694581218064,935.1374762520506
2025-01-21 15:10:21,64.89539262546974,34.59415047329816,977.9940191153694,933.0330092348861
