ds,yhat,yhat_lower,yhat_upper
2025-01-04 18:29:25,36.93018377972504,34.40064607980102,39.31173482590823
2025-01-04 18:32:06,36.98329851126848,34.587386093448266,39.57505694624598
2025-01-05 15:54:51,34.75130383672659,32.309293097961486,37.181305595991994
2025-01-05 16:09:42,34.93140576503368,32.361674091594,37.221559680838844
2025-01-05 16:24:42,35.12347503799146,32.47962407940335,37.40460932857627
2025-01-05 16:39:42,35.327516876678004,32.99947691779144,37.680951228752186
2025-01-05 16:54:42,35.54422610168256,33.23086559077261,37.901667554868865
2025-01-05 17:09:42,35.77307438783204,33.32777185650262,38.19079853399574
2025-01-05 17:24:42,36.0122456226085,33.41135867325077,38.536088441255885
2025-01-05 17:39:42,36.25864819715167,33.772649181658366,38.73105550502149
2025-01-05 17:54:42,36.50800506775423,33.97027541874414,38.95765526160135
2025-01-05 18:09:42,36.755017843997784,34.36634865875257,39.40843914242203
2025-01-05 18:24:42,36.993596760691986,34.58893552602623,39.45081231373075
2025-01-05 18:39:42,37.21714443877643,34.830960618101074,39.51346581537079
2025-01-05 18:54:42,37.41887807752175,34.84366849435925,40.06026580706992
2025-01-05 19:09:42,37.592172350527925,35.18906865971329,40.05932606732718
2025-01-05 20:34:25,37.80088573236975,35.31522640649199,40.22305056876517
2025-01-05 20:49:20,37.683744609680424,35.16222286278307,40.13241225374272
2025-01-05 21:04:20,37.52239702093218,35.142850819803044,39.89229336926863
2025-01-05 21:19:20,37.32188416772425,35.06868999378916,39.759567027506385
2025-01-05 21:34:20,37.08802856763564,34.69866851474536,39.56940322527321
2025-01-05 21:49:21,36.827407742926134,34.586254489677145,39.44360084274482
2025-01-05 22:04:20,36.548559238219525,34.200871884416124,38.923588334425745
2025-01-05 22:19:20,36.258635214514975,33.798322733944545,38.652649028853915
2025-01-05 22:34:20,35.96606578444685,33.54397607181446,38.25612867301427
2025-01-05 22:49:20,35.678707914301384,33.35280293522945,38.139007993729
2025-01-05 23:04:20,35.403822296154786,33.0984054778053,37.80047320179123
2025-01-05 23:19:20,35.147785855718624,32.65061061881379,37.546824575042606
2025-01-05 23:34:20,34.91585450638081,32.572180366091374,37.37222130144231
2025-01-05 23:49:20,34.71198636831469,32.35497115273965,37.22131106836721
2025-01-06 00:04:20,34.5387319750195,32.151734407589196,36.93754166450766
2025-01-06 00:19:20,34.39719404474837,31.93922697063463,36.78289424198276
2025-01-06 00:34:20,34.287055457949826,31.93929548709155,36.841590415386364
2025-01-21 08:25:29,31.291951918318357,28.8792166832494,33.747138122286934
2025-01-21 08:40:21,31.065974228667837,28.62143956774003,33.239099320996615
2025-01-21 08:55:21,30.864959871176612,28.342594224583323,33.31003512221351
2025-01-21 09:10:21,30.69531660284983,28.33236086635159,33.232526444071524
2025-01-21 09:25:21,30.56085566705856,28.0960032722508,33.01976491997194
2025-01-21 09:40:21,30.46476667602532,28.071252649917387,32.90346907927658
2025-01-21 09:55:21,30.409467490319933,28.202646916872308,33.003830791383606
2025-01-21 10:10:21,30.396473051800974,28.008317086743848,32.9128327697763
2025-01-21 10:25:21,30.42629307587263,28.05805377473683,32.508899536475894
2025-01-21 10:40:21,30.498367497091067,28.17096020776059,32.89248672786069
2025-01-21 10:55:21,30.61104683484566,28.270007562170367,33.06679648572386
2025-01-21 11:10:21,30.761622294629664,28.282984484184936,33.150971870786094
2025-01-21 11:25:21,30.94640757996443,28.631908873342542,33.3684644243069
2025-01-21 11:40:21,31.160871240643136,28.837836395364263,33.80486751013207
2025-01-21 11:55:21,31.39981512782753,29.00773093584321,33.85450756862242
2025-01-21 12:10:21,31.65759138955432,29.347777551711086,34.26294101019204
2025-01-21 12:25:21,31.9283472448682,29.43333521482657,34.459602632511704
2025-01-21 12:40:21,32.20628684269049,29.77229765027101,34.58830354296656
2025-01-21 12:55:21,32.48593214076764,30.085374989043288,34.96715496057499
2025-01-21 13:10:21,32.7623717869043,30.257069636774816,35.2247312683609
2025-01-21 13:25:21,33.03148138473858,30.544120775869786,35.53214544951964
2025-01-21 13:40:21,33.29010200514832,30.78864075053737,35.63581662245501
2025-01-21 13:55:21,33.536165462465924,31.093863671147,35.900499265505665
2025-01-21 14:10:21,33.76875772099229,31.391582119295816,36.320924219218426
2025-01-21 14:25:21,33.988115264228995,31.757624008622635,36.49769520469535
2025-01-21 14:40:21,34.195553162890185,31.78325756245193,36.456197864383135
2025-01-21 14:55:21,34.39332766770423,31.79781398488935,36.94246511292319
2025-01-21 15:10:21,34.584440182460774,32.07275670460561,36.96117554777176
2025-01-21 15:25:21,34.772393174105815,32.59015514727892,37.33742072007317
2025-01-21 15:40:21,34.960911729632414,32.53515564499081,37.49414831335812
2025-01-21 15:55:21,35.153646838572,32.769945415142026,37.49902828592735
