ds,humidity,temp_dht,temp_bmp,pressure
2025-01-04 18:29:25,52.86016817307389,37.12422291678065,1006.1030659461197,908.8516218184975
2025-01-04 18:32:06,52.55714426641382,37.17837801482012,1006.3137995184226,909.1242684984718
2025-01-05 15:54:51,64.73968825347809,34.80603142356623,1033.053224586697,931.7251489395522
2025-01-05 16:09:42,64.31443553041404,35.017070516527156,1030.3396009232852,930.6317944616484
2025-01-05 16:24:42,63.691595373786015,35.24382938948382,1027.4791437655617,929.734707296051
2025-01-05 16:39:42,62.873325028708216,35.484839177700565,1024.6470540046637,929.1067868327831
2025-01-05 16:54:42,61.870115567602035,35.7393747351789,1021.9922983990756,928.7951647719602
2025-01-05 17:09:42,60.70377909546566,36.00532320707312,1019.6547852170489,928.8298433651651
2025-01-05 17:24:42,59.40639091406525,36.279206567283005,1017.7567385757072,929.2215783685909
2025-01-05 17:39:42,58.01860953016845,36.55628958510861,1016.3951651150053,929.9610146178303
2025-01-05 17:54:42,56.5874798684258,36.83076797330104,1015.6359034821756,931.0191428090222
2025-01-05 18:09:42,55.16385747733576,37.096026589226994,1015.5096438262589,932.3490571346666
2025-01-05 18:24:42,53.79961489269986,37.34495329136749,1016.0101753721816,933.8889053870975
2025-01-05 18:39:42,52.54480417705458,37.570290654515446,1017.0949738739533,935.5658420034403
2025-01-05 18:54:42,51.444951196026594,37.76500542888273,1018.6880870621644,937.3007258066247
2025-01-05 19:09:42,50.53864735887012,37.92265453592102,1020.6851253615023,939.0132526027422
2025-01-05 20:34:25,49.88197233756297,37.93003394500144,1033.1207696058011,945.2804655330766
2025-01-05 20:49:20,50.50405075945534,37.7710170304427,1034.4351255453978,945.5419529544608
2025-01-05 21:04:20,51.28745113914519,37.57016138015443,1035.2668335749504,945.5820576340299
2025-01-05 21:19:20,52.19068671565836,37.33428612943832,1035.5821122870695,945.4505678932439
2025-01-05 21:34:20,53.173637890747884,37.070450044527504,1035.3901765722894,945.2126774017594
2025-01-05 21:49:21,54.19819446203294,36.78606854146686,1034.7322944176394,944.9420748756497
2025-01-05 22:04:20,55.224829484624095,36.49018354151168,1033.6830895187331,944.7173214888167
2025-01-05 22:19:20,56.22605226729616,36.189868878189415,1032.3354802728918,944.6136150621461
2025-01-05 22:34:20,57.176514699927395,35.89312642851857,1030.8033891781313,944.7004318727974
2025-01-05 22:49:20,58.05978437228452,35.606954963709704,1029.2089491082354,945.0352594617044
2025-01-05 23:04:20,58.86766879228445,35.33740875832828,1027.6750033393314,945.6598232771586
2025-01-05 23:19:20,59.60009821016183,35.08939099523913,1026.3167223610506,946.5970510992727
2025-01-05 23:34:20,60.264448311472464,34.866514148687976,1025.233865174901,947.8492679322691
2025-01-05 23:49:20,60.87436770586139,34.67103136044728,1024.5042001686295,949.3977427818401
2025-01-06 00:04:20,61.448207918809814,34.50383845351747,1024.1785179081298,951.2036189313742
2025-01-06 00:19:20,62.007179124220464,34.36454205459474,1024.2775566873618,953.2101674810903
2025-01-06 00:34:20,62.57337143860788,34.25158559190415,1024.7910291697585,955.3462161048326
2025-01-21 08:25:29,74.8170211746538,31.193032970686,1021.3296442636525,953.5728153035918
2025-01-21 08:40:21,75.38983752414075,30.96769732708303,1021.8500742036975,952.9802947206615
2025-01-21 08:55:21,75.90729831885763,30.765105551995894,1022.0197137892749,952.1602561307443
2025-01-21 09:10:21,76.33089279517797,30.592594347683686,1021.8236679189406,951.1428148152854
2025-01-21 09:25:21,76.63000193035573,30.454885421188074,1021.2813899535762,949.9673797952395
2025-01-21 09:40:21,76.77873049034822,30.355974456015172,1020.4393393982086,948.6838496379004
2025-01-21 09:55:21,76.75778844019521,30.298926001391763,1019.3678422168158,947.3487880773323
2025-01-21 10:10:21,76.55598008343887,30.28570258820979,1018.1561932479992,946.0211369438571
2025-01-21 10:25:21,76.17119081690151,30.317040752462802,1016.9063318439862,944.757776053251
2025-01-21 10:40:21,75.61079385749903,30.392384054005213,1015.7255241564822,943.6092498375206
2025-01-21 10:55:21,74.89143745806109,30.50987999397379,1014.7185583120313,942.6159682629619
2025-01-21 11:10:21,74.03821446478531,30.666443957583986,1013.9799968240461,941.8051557705202
2025-01-21 11:25:21,73.08325783474604,30.857889176853185,1013.5870313093677,941.1887690638176
2025-01-21 11:40:21,72.06384506252037,31.079117492506754,1013.5934475679753,940.7625361216998
2025-01-21 11:55:21,71.02012869484201,31.324361675418952,1014.0251367729029,940.5061896522998
2025-01-21 12:10:21,69.9926368649105,31.58746652325821,1014.8774856866888,940.3848838062866
2025-01-21 12:25:21,69.01970521120737,31.862193118105985,1016.1148523391792,940.3516991907566
2025-01-21 12:40:21,68.13500833141707,32.14252873873866,1017.6721920639332,940.3510638788262
2025-01-21 12:55:21,67.36535461699764,32.422984090426645,1019.4587517570005,940.3228526145264
2025-01-21 13:10:21,66.7288930107235,32.69885984792014,1021.3636077553264,940.2068772983737
2025-01-21 13:25:21,66.23385492695407,32.96646599419031,1023.2626945696933,939.9474525834387
2025-01-21 13:40:21,65.877920862997,33.223270838577584,1025.0268666610625,939.4977130850505
2025-01-21 13:55:21,65.64826129771136,33.46801514084669,1026.5304607675757,938.8233738906038
2025-01-21 14:10:21,65.52225792294641,33.70069343626266,1027.6597873126154,937.9056627527816
2025-01-21 14:25:21,65.4688669670051,33.92249280949289,1028.3209787983824,936.7432081280147
2025-01-21 14:40:21,65.45054426460644,34.13564667799299,1028.4466612415085,935.352738264243
2025-01-21 14:55:21,65.42561460876861,34.343220934742675,1028.0009891070886,933.7685280174028
